매장명,매장주소
비발디파크,강원 홍천군 서면 한치골길 262 (팔봉리)
춘천이마트,강원 춘천시 온의동 511번지 이마트춘천점 1층
춘천퇴계,강원 춘천시 행촌로 28
춘천한숲시티,강원 춘천시 퇴계동 1240
춘천온의,강원 춘천시 온의동 590 온의롯데캐슬스카이클래스 1층
문막,강원 원주시 문막읍 건등리 200-6 1층
춘천석사,강원 춘천시 지석로 75
춘천명동,강원 춘천시 중앙로 67번길 3
강원대,강원 춘천시 효자동 628-10
원주기업센텀,강원 원주시 지정면 가곡리 1497-1
원주기업스타,"강원 원주시 지정면 신지정로 211, 스타세븐상가 156호"
춘천애막골,강원 춘천시 석사동 729-1
춘천강북,강원 춘천시 충열로 10-13
춘천후평,강원 춘천시 후석로 296
춘천장학,강원 춘천시 동면 장학리 1007-5
홍천중앙로,강원 홍천군 홍천읍 꽃뫼로 99-2
철원동송,강원 철원군 동송읍 이평리 680-6
원주단계,강원 원주시 단계동 1216
원주터미널,강원 원주시 서원대로 171 원주시외버스터미널
원주무실,강원 원주시 무실동 1857-10 (시네씨티타워 1층)
원주태장,강원 원주시 북원로 2706
원주중앙,강원 원주시 원일로 122-2 (중앙동)
원주구곡,"강원 원주시 단구동 1511-1 스타프라자 103,104호"
원주단관,강원 원주시 단구로 369
강원횡성,강원 횡성군 횡성읍 문정로 21 (읍하리)
원주반곡,"강원 원주시 늘품로 187-58 (단구동, 현대아카데미프라자) 113호, 114호"
원주혁신,강원 원주시 반곡동 1885-3
철원와수,강원 철원군 서면 와수로146번길 1 (와수리)
강원화천,강원 화천군 화천읍 중앙로 11
강원양구,강원 양구군 양구읍 중앙길 9
강원인제,강원 인제군 인제읍 상동리 295-6
영월,강원 영월군 영월읍 중앙로 17
평창알펜시아,강원 평창군 대관령면 솔봉로 325 알펜시아 콘도 101동 R05호
강원횡계,강원 평창군 대관령면 대관령마루길 7 (횡계리)
속초조양,"강원 속초시 동해대로 4024,111(조양동,1층111~112호)"
속초중앙,강원 속초시 중앙로 136
강릉유천,강원 강릉시 홍제동 1022-4 1층
강릉교동,강원 강릉시 교동광장로 135
강릉대학로,강원 강릉시 경강로 2096
비어있음,강원 강릉시 옥천동 189 6층 601호
강릉포남,033-651-1618
강릉입암,033-652-0607
강릉이마트,033-651-0121
강원태백,033-552-5618
동해나안,033-521-1131
동해천곡,033-532-0031
삼척쏠비치,033-803-7975
삼척남양,
