매장명,매장주소
렛츠런파크(임시휴점),"경기 과천시 경마공원대로 107 (주암동, 한국마사회)"
과천역,"경기 과천시 별양로 164 (부림동, 과천센트럴파크푸르지오써밋)"
과천정부청사역,"경기 과천시 별양상가1로 35 상아빌딩 104, 105호"
과천위버필드,"경기 과천시 모템말길 7, 상가12-2동 101, 102호 (갈현동)"
남위례역,"경기 성남시 수정구 위례광장로 25 (창곡동, 성산타워) 104호"
flow위례,"경기 성남시 수정구 위례광장로 320 (창곡동, 아이에스센트럴타워) 1층"
위례트레이더스,"경기 하남시 위례대로 200 (학암동, 스타필드시티 위례점) 지하 3층"
성남태평역,경기 성남시 수정구 수정로 71
위례창곡,"경기 성남시 수정구 위례동로 141 (창곡동, 우성메디피아)"
안양동편마을,"경기 안양시 동안구 동편로 6, 115"
성남모란역,경기 성남시 중원구 성남동 3498
성남태평이마트,경기 성남시 수정구 태평동 7336 이마트 2층
인덕원역0624,경기 안양시 동안구 관양동 1502-4
성남산성,경기 성남시 수정구 산성동 1456
하남감일포웰시티,"경기 하남시 감일백제로 101 (감이동) 아리온프라자 101호, 102호"
의왕포일,"경기 의왕시 안양판교로 99 (포일동, 스마일타워)"
신흥사거리,경기 성남시 수정구 신흥동 4210-2
안양관양,경기 안양시 동안구 관평로 296
판교운중,경기 성남시 분당구 운중동 947
성남세이브존,경기 성남시 수정구 산성대로 337 성남세이브존 지하1층
남한산성역,경기 성남시 중원구 금광동 4840 1층
단대오거리,경기 성남시 중원구 산성대로372번길 3 (금광동)
야탑홈플러스,경기 성남시 분당구 야탑동 341 테마폴리스 3층
안양평촌역,경기 안양시 동안구 관평로170번길 43
평촌새중앙,경기 안양시 동안구 귀인로 289 (평촌동)
분당야탑,경기 성남시 분당구 야탑로 81번길 10 분당아미고타워 108호
성남하대원,경기 성남시 중원구 하대원동 132-12
광명신촌,경기 광명시 소하동 1364
분당아름마을,경기 성남시 분당구 판교로 445
판교원마을,경기 성남시 분당구 운중로 242
성남상대원,경기 성남시 중원구 희망로343번길 2 (상대원동)
안양임곡,경기 안양시 동안구 임곡로 40 (비산동) 1층
안양평촌홈플러스,경기 안양시 동안구 동안로 162 홈플러스 평촌점 1층
안양비산,경기 안양시 동안구 관악대로 129
신구대사거리,경기 성남시 중원구 광명로 369 (금광동)
광명하안,"경기 광명시 범안로 1059, 유창빌딩 101호"
안양관악역,경기 안양시 만안구 석수동 103-5
평촌범계2,경기 안양시 동안구 호계동 1050
평촌범계,"경기 안양시 동안구 평촌대로223번길 64 (호계동, 제일빌딩)"
분당중탑,경기 성남시 분당구 벌말로 37
광명하안6단지,경기 광명시 하안동 37 신영빌딩 103호
광명소하이마트,경기 광명시 소하로 97 이마트 3층
현대판교,"경기 성남시 분당구 판교역로146번길 20 (백현동, 현대백화점 판교점)"
구리토평,경기 구리시 수택동 874-11
평촌학원가,"경기 안양시 동안구 평촌대로 141, 103, 104호"
의왕내손,경기 의왕시 갈미2로 40
의왕백운,"경기 의왕시 백운중앙로 45 (학의동, 의왕백운해링턴플레이스 2단지) 상가 1호"
안양덕천래미안,경기 안양시 만안구 안양동 1393
광명철산로데오,경기 광명시 오리로 856번길 25
안양역지하상가,경기 안양시 만안구 만안로 230 안양민자역사
