매장명,매장주소
영천동부,경북 영천시 동부로 49
문경모전,경북 문경시 당교로 261 (모전동)
경북상주,경북 상주시 무양동 291-5
상주시청,경북 상주시 남성동 115-3
경북예천,경북 예천군 예천읍 노하리 75-17
영주가흥,경북 영주시 가흥동 1728-2
경북영주,경북 영주시 번영로 154
영주홈플러스,경북 영주시 휴천3동 329-1
경북도청,경북 예천군 호명면 새움3로 20 (산합리)
구미선산,경북 구미시 선산읍 남문로 47-2 (완전리)
김천이마트,경북 김천시 시청로 75 1층 이마트內 1층
안동옥동,경북 안동시 경북대로 423
김천역,경북 김천시 김천로 131 (평화동)
안동삼산,경북 안동시 남문로 22-15
안동홈플러스,"경북 안동시 경동로 656 (운흥동, 홈플러스) 3층"
안동정하,경북 안동시 정하동 282-3
김천율곡,경북 김천시 혁신4로 61 (율곡동)
김천혁신,"경북 김천시 혁신3로 15 (율곡동, 율곡스퀘어 Ⅵ) 1층"
구미봉곡,경북 구미시 봉곡로 96
구미원호,경북 구미시 고아읍 원호리 439-5
구미문성,경북 구미시 고아읍 들성로 237 (문성리)
구미원평,경북 구미시 구미중앙로 94
구미송정,경북 구미시 송정동 4-5
구미형곡,경북 구미시 신시로 77
구미신평,경북 구미시 신비로 14 (신평동)
구미확장,경북 구미시 산동면 신당2로 57 (신당리)
구미광평홈플러스,경북 구미시 구미대로 174 홈플러스內 1층
경북의성,경북 의성군 의성읍 후죽리 542-4
구미옥계,경북 구미시 옥계북로 39 삼구트리니엔
구미상모,경북 구미시 상모로 48
동구미이마트,경북 구미시 임수동 92-28 이마트內 1층
구미북삼,경북 칠곡군 북삼읍 금오대로 288
구미인동,경북 구미시 황상동 318-5
구미구평,경북 구미시 인동36길 5
칠곡석적,경북 칠곡군 석적읍 중리 140-1
왜관역,경북 칠곡군 왜관읍 중앙로 197-1 (왜관리)
경북성주,경북 성주군 성주읍 성산6길 2 (성산리)
경북울진,경북 울진군 울진읍 울진중앙로 113 (읍내리)
경북고령,경북 고령군 대가야읍 헌문리 241
경산하양,경북 경산시 하양읍 하양로 90
경산이마트,경북 경산시 옥산로 227 경산이마트
경산정평,경북 경산시 대학로 30 (정평동)
경산중산,"경북 경산시 펜타힐즈2로 27 (중산동, 중산타워)"
경산홈플러스,경북 경산시 중방동 896 1층 배스킨라빈스 경산홈플러스점
영천시청,경북 영천시 문외동 12
경산영대,경북 경산시 대학로 291
경북영덕,경북 영덕군 영덕읍 남석리 69-26
경산신대,경북 경산시 압량읍 압독3로 25 (신대리)
경산진량,경북 경산시 진량읍 신상리 1225-8
경산옥곡,경북 경산시 옥곡동 815-1
