매장명,매장주소
광주첨단,"광주 광산구 첨단중앙로181번길 42-4 상가 1호, 2호"
광주월계,광주 광산구 첨단중앙로 96 110호
광주양산,광주 북구 하서로 403
광주신용,광주 북구 첨단연신로133번길 4 (신용동)
광주일곡,광주 북구 설죽로 514
광주연제,광주 북구 양산동 660-16
광주신창,광주 광산구 신창로 132 (신창동)
광주장덕,광주 광산구 풍영로 271 (장덕동)
flow광주수완,광주 광산구 장신로147번길 6-2 (수완동)
광주매곡,광주 북구 서하로 131 (매곡동)
광주수완,광주 광산구 장신로 120
광주수완롯데마트,광주 광산구 장신로 98 3층
광주문흥,"광주 북구 문산로 43-2 (문흥동, 라인아파트상가동 12호)"
광주신가,"광주 광산구 신창로 34 (신창동), 1층"
광주동림푸른마을,광주 북구 북문대로 241 (동림동)
동광주홈플러스,광주 북구 동문대로 200 홈플러스점 1층
광주용봉,광주 북구 용봉택지로 94 (용봉동)
광주운암,광주 북구 북문대로 89 벽산블루밍 상가
전남대,광주 북구 우치로 94-1 (용봉동)
광주운남,광주 광산구 운남동 773-6
광주하남홈플러스,광주 광산구 하남동 1 1층
광주말바우,광주 북구 동문대로 96 (두암동)
광주동림,광주 서구 하남대로 680번길 1
광주월곡,광주 광산구 사암로 275 1층
광주두암,광주 동구 산수동 681
광주터미널,"광주 서구 무진대로 904 (광천동, 유스퀘어(광천터미널)), 1층 22호"
광주하남,광주 광산구 사암로216번길 30 (우산동)
광주계림센트럴,광주 동구 경양로 237 (계림동)
광주이마트,광주 서구 화정동 12-13 이마트 광주점 1층
광주쌍촌,광주 서구 상무민주로 101
광주상무,광주 서구 치평로 60
광주운천,광주 서구 쌍촌동 981-19
조선대,광주 동구 필문대로 271
광주충장,광주 동구 서석로 51 (금남로1가)
광주황금,"광주 동구 황금동 102, 1층"
광주염주,광주 서구 월드컵4강로 93-1
광주백운,"광주 남구 제중로 136 (서동, 오베로)"
광주선운,"광주 광산구 선운중앙로 43, 211동 지하1층 B101호, B102호 (선암동, 광주 선운지구 EG the1 2단지)"
광주화정,"광주 서구 화운로 24 (화정동, 유니버시아드 힐스테이트 3단지)"
광주방림,광주 남구 방림동 346-1
광주주월,"광주 남구 대남대로223번길 10 (주월동, 양우 내안애 프레스티지) 111동"
광주송정,광주 광산구 광산로 32
광주학동,광주 동구 남문로 664
광주금호,광주 서구 금화로 93
광주풍암,광주 서구 풍암중앙로 55
광주봉선,광주 남구 봉선로 164
광주마재,광주 서구 회재로 887 (금호동)
광주진월,광주 남구 서문대로 648 1층
광주노대,광주 남구 노대동 851
광주효천,광주 남구 임암동 879
