매장명,매장주소
대구칠곡홈플러스,대구 북구 동암로12길 8 칠곡홈플러스 1층
대구칠곡,"대구 북구 학정로 439,109호(동천동,칠곡메가타운)"
대구보건대,대구 북구 태전로 57 (태전동) 1층
대구동천,대구 북구 구암로 143
대구금호,대구 북구 한강로 46 (사수동)
대구세천,대구 달성군 다사읍 세천리 1588
칠곡매천,대구 북구 매전로 80
대구죽곡,"대구 달성군 다사읍 달구벌대로 881(103호, 104호)"
대구서재,대구 달성군 다사읍 서재로 117 (서재리)
대구연경,대구 북구 동화천로 245 (연경동)
대구강창역,대구 달서구 호산로 137 (파호동)
대구동서변,"대구 북구 호국로 219 (서변동, 대성골든프라자1차)"
대구신당,대구 달서구 계대동문로 26
대구성서이곡,대구 달서구 계대동문로 123
대구팔달시장역,대구 서구 비산동 1043 1층 103호
대구성서성산,대구 달서구 성지로 102 (용산동)
대구용산,대구 달서구 용산로 218
대구이시아폴리스,대구 동구 봉무동 1539-8
대구침산,대구 북구 침산로 153 2차 푸르지오상가 1층 c-5호
대구평리,대구 서구 서대구로 112 (평리동)
대구성서홈플러스,대구 달서구 용산동 231-11
대구산격,대구 북구 동북로 163
대구경대북문,대구 북구 산격동 1341-2
대구두류,"대구 서구 달구벌대로 1691, 109호 (내당동)"
대구복현,"대구 북구 복현로 71 (복현동, 복현블루밍상가) 1층 101호"
내당홈플러스,대구 서구 달구벌대로 1821 (내당동)
대구칠성,대구 북구 칠성동2가 371-2 1층
비어있음,대구 북구 중앙대로 526 (칠성동2가) 1층
대구본리,053-555-3130
대구남산,053-255-4477
대구성당래미안,053-522-3130
대구대현,053-955-0310
대구동성로,053-425-5184
대구옥포,053-616-0292
대구동아쇼핑,053-254-8217
대구신암,053-952-3127
대구월성네거리,053-633-7376
대구삼덕,053-422-0599
대구대천,053-635-3686
대구서부,053-753-0031
대구화원역,053-653-3131
대구월배이마트,053-639-0731
대구아양교역,053-955-3818
동대구역사,070-7543-2457
대구대곡역,053-635-3117
대구월성,053-644-8463
대구신세계,053-661-6991
동대구터미널,053-955-3131
대구상인홈플러스,053-641-8778
비어있음,
