매장명,매장주소
신탄진,대전 대덕구 신탄진로 816
대전송강,대전 유성구 구즉로 70-1 (송강동)
대전관평,대전 유성구 테크노4로 137
대전반석,대전 유성구 반석로 23
대전지족,"대전 유성구 지족동 986-2 105, 105-1, 106-1호"
대전EXPO,대전 유성구 엑스포로 448 엑스포중앙상가 104호
대전신성,대전 유성구 신성남로 45
대전노은,대전 유성구 노은로 170
대전죽동,"대전 유성구 유성대로 871 죽동 1층 101(일부),102,103호"
대전충남대,대전 유성구 대학로151번길 27
대전유성,대전 유성구 봉명동 469-46 유성자이 104호
대전유성홈플러스,대전 유성구 한밭대로 502 유성홈플러스내 1층
대전월평,대전 서구 청사서로 40 1층 배스킨라빈스
대전월평트레이더스,대전 서구 월평동 510
대전학하,대전 유성구 덕명동 601-11
대전둔산이마트,대전 서구 둔산동 959-2 대전둔산이마트 內 1층
대전둔산햇님,"대전 서구 둔산북로 175 (둔산동, 햇님아파트) 햇님상가 1층"
대전도안,대전 유성구 도안대로 512-12
대전둔산,"대전 서구 둔산로 20,104(둔산동)"
대전송촌,대전 대덕구 송촌동 464-2
대전갈마,대전 서구 갈마동 378-14
대전아이파크시티,"대전 유성구 상대복용로29번길 52 (상대동, 대전아이파크시티 1단지)"
대전충남고,대전 서구 문정로 166
대전탄방,"대전 서구 문정로 96(탄반동,101호)"
대전한남대,대전 대덕구 한남로 19
대전비래,대전 대덕구 비래동 126-6
대전터미널서관,대전 동구 동서대로 1689 대전터미널서관 1층
대전목원대,대전 서구 도안북로93번길 7
대전용문,"대전 서구 계룡로 634-1 (용문동), 1층"
대전가장,대전 서구 갈마로 262 벽산맑은아침APT상가 502동 107호
대전중촌,"대전 중구 목중로 12-1 (중촌동), 1층"
대전수목토,"대전 서구 원도안로179번길 7-17, 1층 일부호(도안동)"
대전배재대,대전 서구 배재로 162
대전은행본점,"대전 중구 중앙로164번길 5,1층(은행동)"
대전태평,대전 중구 유천동 326-15
대전대동역,대전 동구 계족로 167
대전SAY,대전 중구 문화동 1-16 백화점 세이 별관 5층
대전문화홈플러스,대전 중구 계백로 1690 문화홈플러스점 1층
대전도마,대전 서구 도마동 174-4
대전용운,대전 동구 새울로 107 (용운동) 1층
대전가수원,대전 서구 가수원동 1061번지 1층
대전관저,대전 서구 관저동 1109 신선타워 101호
대전관저더샵,대전 서구 관저동 1992-1
대전마치광장,대전 서구 구봉로 129 (관저동)
대전산성,대전 중구 대둔산로 397 (산성동) 1층 103호
대전판암,대전 동구 판암동 466
대전복수,대전 서구 복수동로 496.1층
대전가오,대전 동구 가오동 646 가오동 GO빌딩 1층 106호
대전산내,대전 동구 산내로 1329 (낭월동)
